Kategori,FACEBOOK,GOOGLE,LINKEDIN,APPLE,INSTAGRAM,SKYPE,NIKE,SPOTIFY,ANDROID,TWITTER
Name,1,1,1,1,1,1,1,1,0,1
Birthdate,1,1,1,1,1,1,1,1,0,0
Relationship,1,1,0,1,0,0,0,0,1,1
Friends,1,1,1,1,1,1,1,1,1,1
Health,1,1,0,1,0,0,1,0,0,0
Network,1,1,1,1,1,1,0,1,0,1
Address,1,1,1,1,0,1,1,1,0,0
Messages,1,1,0,1,0,0,0,0,0,0
Political opinion,1,1,1,1,1,0,0,0,0,1
Education,1,1,1,1,0,0,0,0,0,0
Events,1,1,1,1,1,0,0,0,1,0
Sex,1,1,1,1,1,1,1,0,0,1
Religion,1,1,0,1,0,1,0,1,0,1
Weight,1,1,0,1,0,0,1,0,0,0
Contacts,1,1,1,1,0,1,0,0,0,0
Age,1,1,1,1,1,1,1,1,0,1
Phone number,1,1,1,1,1,1,1,0,0,0
Fingerprint,0,0,0,1,0,0,0,0,1,0
Web-history,1,1,1,1,0,0,0,0,1,0
Job,1,1,1,0,0,0,0,0,0,1
Income,0,1,1,1,0,0,0,0,0,0
E-Mails,0,1,1,1,0,0,0,0,0,0
Interestes,1,1,1,1,1,0,0,0,0,1
Spendings,1,1,0,1,1,0,1,0,0,0
Family,1,1,0,1,1,0,0,0,0,1
Economy,1,1,1,1,0,0,0,0,1,0
Location,1,1,1,1,1,1,1,1,1,1
Photos,1,1,0,1,1,0,0,0,0,0
Schedule,1,1,0,1,0,0,0,0,0,1
Music,1,1,0,1,0,0,0,1,0,1
Movies,1,1,0,1,0,0,0,0,0,1
TV,1,1,0,1,0,1,0,0,0,1
Creditcard info,1,1,0,1,0,0,1,1,0,0